state_fips,state,county,crops
1,Alabama,Autauga,Alfalfa:2; Apples:3; Blueberries:4; Cantaloupes:2; Citrus:1; Clover/Wildflowers:4; Corn:19; Cotton:18; Greens:1; Herbs:9; Millet:12; Oats:21; Other_Hay/Non_Alfalfa:12; Peaches:11; Peanuts:12; Peas:6; Pecans:12; Peppers:1; Plums:5; Potatoes:1; Pumpkins:7; Rye:9; Sorghum:18; Soybeans:31; Squash:2; Strawberries:2; Sunflower:5; Sweet_Corn:6; Sweet_Potatoes:4; Tomatoes:2; Triticale:4; Vetch:1; Winter_Wheat:12
1,Alabama,Baldwin,Alfalfa:1; Blueberries:10; Canola:1; Citrus:4; Clover/Wildflowers:3; Corn:32; Cotton:23; Cucumbers:3; Dry_Beans:1; Herbs:4; Millet:12; Oats:34; Olives:1; Oranges:5; Other_Hay/Non_Alfalfa:12; Peaches:8; Peanuts:12; Peas:4; Pecans:12; Potatoes:6; Pumpkins:1; Rye:11; Sorghum:18; Soybeans:42; Squash:1; Sunflower:4; Sweet_Corn:10; Sweet_Potatoes:12; Triticale:1; Vetch:1; Winter_Wheat:12
1,Alabama,Barbour,Alfalfa:5; Blueberries:10; Cantaloupes:2; Citrus:1; Clover/Wildflowers:7; Corn:30; Cotton:24; Cucumbers:8; Dry_Beans:3; Grapes:1; Herbs:9; Millet:12; Oats:32; Other_Hay/Non_Alfalfa:12; Peaches:2; Peanuts:12; Peas:7; Pecans:12; Peppers:1; Potatoes:1; Rye:12; Sorghum:17; Soybeans:35; Squash:2; Sunflower:8; Sweet_Corn:5; Triticale:9; Winter_Wheat:12
1,Alabama,Bibb,Alfalfa:5; Blueberries:5; Cantaloupes:2; Citrus:2; Clover/Wildflowers:5; Corn:14; Cotton:17; Grapes:1; Greens:1; Herbs:2; Millet:8; Oats:14; Other_Hay/Non_Alfalfa:12; Peaches:8; Peanuts:11; Peas:1; Pecans:11; Potatoes:1; Pumpkins:3; Rye:6; Sorghum:12; Soybeans:29; Squash:2; Sunflower:2; Sweet_Corn:2; Sweet_Potatoes:6; Tomatoes:2; Vetch:1; Winter_Wheat:12
1,Alabama,Blount,Alfalfa:8; Apples:1; Barley:1; Blueberries:1; Canola:4; Cantaloupes:2; Clover/Wildflowers:7; Corn:21; Cotton:15; Grapes:1; Greens:1; Herbs:2; Millet:10; Oats:20; Other_Hay/Non_Alfalfa:12; Peaches:8; Peanuts:12; Peas:5; Pecans:10; Peppers:1; Potatoes:6; Pumpkins:6; Rape_Seed:1; Rye:7; Sorghum:17; Soybeans:33; Squash:3; Sunflower:2; Sweet_Corn:5; Sweet_Potatoes:12; Tomatoes:5; Triticale:2; Turnips:1; Winter_Wheat:12
1,Alabama,Bullock,Alfalfa:5; Apples:2; Blueberries:7; Cantaloupes:2; Clover/Wildflowers:5; Corn:26; Cotton:23; Cucumbers:4; Dry_Beans:1; Grapes:1; Herbs:11; Millet:12; Oats:31; Other_Hay/Non_Alfalfa:12; Peaches:4; Peanuts:12; Peas:6; Pecans:12; Plums:1; Potatoes:1; Rye:11; Sorghum:17; Soybeans:35; Sunflower:5; Sweet_Corn:5; Sweet_Potatoes:1; Triticale:7; Winter_Wheat:12
1,Alabama,Butler,Alfalfa:4; Blueberries:4; Cantaloupes:1; Clover/Wildflowers:6; Corn:17; Cotton:19; Cucumbers:2; Grapes:1; Herbs:6; Millet:12; Oats:23; Other_Hay/Non_Alfalfa:12; Peaches:3; Peanuts:12; Peas:3; Pecans:11; Potatoes:1; Pumpkins:2; Rye:10; Sorghum:15; Soybeans:30; Squash:2; Sunflower:3; Sweet_Corn:4; Sweet_Potatoes:3; Tomatoes:1; Triticale:3; Vetch:1; Winter_Wheat:12
1,Alabama,Calhoun,Alfalfa:3; Canola:1; Cantaloupes:2; Clover/Wildflowers:5; Corn:17; Cotton:14; Greens:1; Herbs:3; Millet:11; Oats:22; Other_Hay/Non_Alfalfa:12; Peanuts:10; Peas:2; Pecans:8; Potatoes:5; Pumpkins:5; Rye:7; Sorghum:19; Soybeans:34; Squash:2; Sunflower:2; Sweet_Corn:4; Sweet_Potatoes:2; Tomatoes:4; Winter_Wheat:10
1,Alabama,Chambers,Alfalfa:5; Blueberries:6; Cantaloupes:2; Clover/Wildflowers:2; Corn:22; Cotton:18; Dry_Beans:1; Grapes:1; Herbs:9; Millet:10; Oats:20; Other_Hay/Non_Alfalfa:12; Peaches:5; Peanuts:11; Peas:3; Pecans:11; Plums:1; Rye:7; Sorghum:14; Soybeans:26; Sunflower:2; Sweet_Corn:2; Sweet_Potatoes:1; Tomatoes:1; Triticale:4; Winter_Wheat:12
1,Alabama,Cherokee,Alfalfa:5; Apples:4; Barley:2; Blueberries:3; Canola:1; Clover/Wildflowers:2; Corn:24; Cotton:17; Dry_Beans:1; Grapes:1; Herbs:6; Millet:11; Oats:24; Other_Hay/Non_Alfalfa:12; Peaches:2; Peanuts:11; Peas:7; Pecans:7; Plums:1; Potatoes:5; Pumpkins:4; Rye:8; Sorghum:19; Soybeans:35; Squash:4; Sunflower:3; Sweet_Corn:5; Sweet_Potatoes:3; Tomatoes:3; Triticale:1; Winter_Wheat:12
