University,Email Domain,State
Auburn University,@auburn.edu,Alabama
Alabama A&M University,@aamu.edu,Alabama
Tuskegee University,@tuskegee.edu,Alabama
University of Alaska Fairbanks,@alaska.edu,Alaska
University of Arizona,@arizona.edu,Arizona
University of Arkansas,@uark.edu,Arkansas
University of Arkansas at Pine Bluff,@uapb.edu,Arkansas
"University of California, Berkeley",@berkeley.edu,California
"University of California, Davis",@ucdavis.edu,California
"University of California, Riverside",@ucr.edu,California
Colorado State University,@colostate.edu,Colorado
University of Connecticut,@uconn.edu,Connecticut
University of Delaware,@udel.edu,Delaware
Delaware State University,@desu.edu,Delaware
University of Florida,@ufl.edu,Florida
Florida A&M University,@famu.edu,Florida
University of Georgia,@uga.edu,Georgia
Fort Valley State University,@fvsu.edu,Georgia
University of Hawaiʻi at Mānoa,@hawaii.edu,Hawaii
University of Idaho,@uidaho.edu,Idaho
University of Illinois Urbana-Champaign,@illinois.edu,Illinois
Purdue University,@purdue.edu,Indiana
Iowa State University,@iastate.edu,Iowa
Kansas State University,@k-state.edu,Kansas
University of Kentucky,@uky.edu,Kentucky
Kentucky State University,@kysu.edu,Kentucky
Louisiana State University,@lsu.edu,Louisiana
Southern University and A&M College,@subr.edu,Louisiana
University of Maine,@maine.edu,Maine
"University of Maryland, College Park",@umd.edu,Maryland
University of Maryland Eastern Shore,@umes.edu,Maryland
University of Massachusetts Amherst,@umass.edu,Massachusetts
MIT,@mit.edu,Massachusetts
Michigan State University,@msu.edu,Michigan
University of Minnesota,@umn.edu,Minnesota
Mississippi State University,@msstate.edu,Mississippi
University of Missouri,@missouri.edu,Missouri
Lincoln University (MO),@lincolnu.edu,Missouri
Montana State University,@montana.edu,Montana
University of Nebraska–Lincoln,@unl.edu,Nebraska
"University of Nevada, Reno",@unr.edu,Nevada
University of New Hampshire,@unh.edu,New Hampshire
Rutgers University,@rutgers.edu,New Jersey
New Mexico State University,@nmsu.edu,New Mexico
Cornell University,@cornell.edu,New York
North Carolina State University,@ncsu.edu,North Carolina
North Carolina A&T State University,@ncat.edu,North Carolina
North Dakota State University,@ndsu.edu,North Dakota
Ohio State University,@osu.edu,Ohio
Central State University,@centralstate.edu,Ohio
Oklahoma State University,@okstate.edu,Oklahoma
Langston University,@langston.edu,Oklahoma
Oregon State University,@oregonstate.edu,Oregon
Penn State,@psu.edu,Pennsylvania
University of Rhode Island,@uri.edu,Rhode Island
Clemson University,@clemson.edu,South Carolina
South Carolina State University,@scsu.edu,South Carolina
South Dakota State University,@sdstate.edu,South Dakota
University of Tennessee,@utk.edu,Tennessee
Tennessee State University,@tnstate.edu,Tennessee
Texas A&M University,@tamu.edu,Texas
Prairie View A&M University,@pvamu.edu,Texas
Utah State University,@usu.edu,Utah
University of Vermont,@uvm.edu,Vermont
Virginia Tech,@vt.edu,Virginia
Virginia State University,@vsu.edu,Virginia
Washington State University,@wsu.edu,Washington
West Virginia University,@wvu.edu,West Virginia
West Virginia State University,@wvstateu.edu,West Virginia
University of Wisconsin–Madison,@wisc.edu,Wisconsin
University of Wyoming,@uwyo.edu,Wyoming
