state_fips,state,state_abbr,county,hardiness_zone
31,Nebraska,NE,Cuming,5b
53,Washington,WA,Wahkiakum,8b
35,New Mexico,NM,De Baca,7a
31,Nebraska,NE,Lancaster,6a
31,Nebraska,NE,Nuckolls,6a
72,,,Las Piedras,
46,South Dakota,SD,Minnehaha,4b
48,Texas,TX,Menard,8a
06,California,CA,Sierra,6b
21,Kentucky,KY,Clinton,7a
39,Ohio,OH,Hancock,6b
48,Texas,TX,Hale,7b
01,Alabama,AL,Clay,8a
48,Texas,TX,Armstrong,7a
39,Ohio,OH,Allen,6a
13,Georgia,GA,McDuffie,8b
55,Wisconsin,WI,Sauk,5a
05,Arkansas,AR,Stone,7b
41,Oregon,OR,Wallowa,6b
42,Pennsylvania,PA,Beaver,6b
28,Mississippi,MS,Jasper,8b
29,Missouri,MO,Henry,6b
08,Colorado,CO,Saguache,5a
37,North Carolina,NC,Chatham,8a
49,Utah,UT,Rich,5a
40,Oklahoma,OK,Adair,7b
39,Ohio,OH,Lake,6b
51,Virginia,VA,Salem,7b
51,Virginia,VA,Montgomery,7a
47,Tennessee,TN,Hamilton,7b
35,New Mexico,NM,Otero,7b
35,New Mexico,NM,Catron,6a
01,Alabama,AL,Marengo,8b
56,Wyoming,WY,Lincoln,5b
29,Missouri,MO,Barton,7a
48,Texas,TX,Calhoun,9b
51,Virginia,VA,Poquoson,8b
54,West Virginia,WV,Pocahontas,5b
48,Texas,TX,Clay,8a
51,Virginia,VA,James City,8a
31,Nebraska,NE,Keith,5b
31,Nebraska,NE,Phelps,6a
22,Louisiana,LA,Calcasieu,9a
22,Louisiana,LA,Union,8b
40,Oklahoma,OK,Sequoyah,7b
01,Alabama,AL,DeKalb,8a
36,New York,NY,Steuben,5b
42,Pennsylvania,PA,Forest,6a
22,Louisiana,LA,Tangipahoa,9a
51,Virginia,VA,Stafford,7a
26,Michigan,MI,Menominee,5a
18,Indiana,IN,Jasper,5b
13,Georgia,GA,Brantley,9a
13,Georgia,GA,Lamar,8b
18,Indiana,IN,Steuben,6a
48,Texas,TX,Orange,9a
39,Ohio,OH,Fayette,6b
25,Massachusetts,MA,Hampshire,6a
21,Kentucky,KY,Allen,7a
37,North Carolina,NC,Alamance,8a
20,Kansas,KS,Greenwood,6b
25,Massachusetts,MA,Suffolk,7a
16,Idaho,ID,Jefferson,4b
48,Texas,TX,Gonzales,9a
47,Tennessee,TN,Marion,7b
26,Michigan,MI,Alpena,5a
